learning_rate, batch_size, n_epochs, accuracy, n_times_for_avg
0.0001, 64, 1, 2.32, 1
0.0001, 64, 2, 4.16, 1
0.0001, 64, 3, 5.13, 1
0.0001, 64, 4, 5.75, 1
0.0001, 64, 5, 7.21, 1
0.0001, 64, 6, 8.19, 1
0.0001, 64, 1, 2.57, 1
0.0001, 64, 2, 4.89, 1
0.0001, 64, 3, 5.62, 1
0.0001, 64, 4, 6.85, 1
0.0001, 64, 5, 8.56, 1
0.0001, 64, 6, 9.17, 1
0.0001, 64, 1, 2.69, 1
0.0001, 64, 2, 4.52, 1
0.0001, 64, 3, 6.23, 1
0.0001, 64, 4, 8.80, 1
0.0001, 64, 5, 9.29, 1
0.0001, 64, 6, 11.00, 1
0.0001, 64, 1, 2.53, 3
0.0001, 64, 2, 4.52, 3
0.0001, 64, 3, 5.66, 3
0.0001, 64, 4, 7.13, 3
0.0001, 64, 5, 8.35, 3
0.0001, 64, 6, 9.45, 3
